instance,obj_mean,obj_std,obj_min,obj_max,vehicles_mean,vehicles_std,time_mean,route_balance_mean
problem_100_0.5,427024.8,2671.38,424030,430923,9.0,0.0,57.27,12276.8
problem_100_0.7,565523.0,7007.35,556590,573675,17.0,0.0,57.11,9150.06
problem_100_0.85,442708.0,5422.9,437199,450993,11.6,0.55,57.65,10690.86
problem_130_0.5,506538.4,5175.79,500188,512293,10.8,0.45,57.73,8535.03
problem_130_0.7,543179.0,9178.02,531154,554130,14.0,0.0,57.96,13169.78
problem_130_0.85,512449.0,5205.69,505788,517253,13.4,0.55,57.59,12708.34
problem_150_0.5,531858.6,15428.35,519676,556984,10.0,0.0,57.94,15594.38
problem_150_0.7,541554.4,8886.3,529974,553172,11.4,0.55,58.06,15929.39
problem_150_0.85,524256.4,6273.7,514100,530583,11.0,0.0,58.35,20884.12
problem_50_0.5,286590.8,2725.47,283087,289273,7.2,0.45,57.28,10515.39
problem_50_0.7,274690.4,2335.06,271515,277841,6.6,0.55,57.17,11651.35
problem_50_0.85,255507.2,2972.06,251944,259120,7.8,0.45,57.1,13414.2
problem_70_0.5,317300.0,1859.64,315190,319184,6.6,0.55,57.29,11615.82
problem_70_0.7,342122.6,3904.6,336703,346006,9.0,0.0,57.2,10743.6
problem_70_0.85,355741.6,5070.1,351198,362272,10.6,0.55,57.22,9609.55
