method,instance,obj_mean,obj_std,obj_min,obj_max,vehicles_mean,vehicles_std,time_mean,route_balance_mean
1,problem_100_0.5,427024.8,2671.38,424030,430923,9.0,0.0,57.27,12276.8
1,problem_100_0.7,565523.0,7007.35,556590,573675,17.0,0.0,57.11,9150.06
1,problem_100_0.85,442708.0,5422.9,437199,450993,11.6,0.55,57.65,10690.86
1,problem_150_0.5,531858.6,15428.35,519676,556984,10.0,0.0,57.94,15594.38
1,problem_150_0.85,524256.4,6273.7,514100,530583,11.0,0.0,58.35,20884.12
1,problem_50_0.5,286590.8,2725.47,283087,289273,7.2,0.45,57.28,10515.39
1,problem_50_0.85,255507.2,2972.06,251944,259120,7.8,0.45,57.1,13414.2
2,problem_100_0.5,417663.6,3739.45,411285,420526,8.8,0.45,57.25,13253.03
2,problem_100_0.7,566093.6,7236.63,555433,573651,17.0,0.0,57.19,9457.98
2,problem_100_0.85,437571.6,6071.91,427443,442578,11.6,0.55,57.7,10470.46
2,problem_150_0.5,541917.2,18452.78,520079,557203,9.8,0.45,58.2,15447.65
2,problem_150_0.85,513214.8,19466.89,483659,537891,11.0,0.0,59.22,20221.69
2,problem_50_0.5,281282.6,1083.14,280224,282742,7.0,0.0,57.13,11470.82
2,problem_50_0.85,253871.0,4556.0,248707,261188,7.6,0.55,57.16,10920.44
3,problem_100_0.5,432898.0,6304.67,426215,441740,9.0,0.0,57.35,10036.75
3,problem_100_0.7,572104.8,3521.51,566405,575837,17.0,0.0,57.14,9733.74
3,problem_100_0.85,442980.0,9146.95,432419,454001,11.6,0.55,57.47,12052.11
3,problem_150_0.5,534493.4,10798.02,516343,544917,10.0,0.0,58.02,12720.61
3,problem_150_0.85,509232.2,10185.88,500115,520627,11.0,0.0,58.25,18181.28
3,problem_50_0.5,286480.4,3110.45,281023,288751,7.0,0.0,57.13,9401.94
3,problem_50_0.85,253303.2,1918.38,251515,256347,8.0,0.0,57.6,13155.67
