analysis_group,instance,obj_mean,obj_std,obj_min,time_mean
LS_OFF,problem_100_0.5,601863.2,31312.87,568772,58.45
LS_OFF,problem_100_0.7,724370.6,17484.64,701757,58.26
LS_OFF,problem_100_0.85,606710.2,12098.2,586381,59.3
LS_OFF,problem_150_0.5,808593.2,34012.35,769822,59.75
LS_OFF,problem_150_0.85,729431.2,41656.51,687596,59.82
LS_OFF,problem_50_0.5,391722.6,15197.79,375475,57.07
LS_OFF,problem_50_0.85,317347.4,4228.5,313551,57.09
LS_ON,problem_100_0.5,427024.8,2671.38,424030,57.27
LS_ON,problem_100_0.7,565523.0,7007.35,556590,57.11
LS_ON,problem_100_0.85,442708.0,5422.9,437199,57.65
LS_ON,problem_150_0.5,531858.6,15428.35,519676,57.94
LS_ON,problem_150_0.85,524256.4,6273.7,514100,58.35
LS_ON,problem_50_0.5,286590.8,2725.47,283087,57.28
LS_ON,problem_50_0.85,255507.2,2972.06,251944,57.1
