instance_name,run_index,execution_time,final_objective
problem_100_0.5,1,57.0,433577.58
problem_100_0.5,2,57.0,443738.73
problem_100_0.5,3,57.01,424379.08
problem_100_0.5,4,57.01,438458.57
problem_100_0.5,5,57.01,436943.4
problem_100_0.5,6,57.01,426543.53
problem_100_0.5,7,57.01,444691.47
problem_100_0.5,8,57.02,447281.8
problem_100_0.5,9,57.0,449024.82
problem_100_0.5,10,57.02,452550.46
problem_100_0.5,11,57.01,457425.92
problem_100_0.5,12,57.0,462238.77
problem_100_0.5,13,57.0,457292.23
problem_100_0.5,14,57.04,432095.19
problem_100_0.5,15,57.03,422875.97
problem_100_0.5,16,57.01,470061.19
problem_100_0.5,17,57.0,444781.98
problem_100_0.5,18,57.02,435679.37
problem_100_0.5,19,57.01,447545.63
problem_100_0.5,20,57.02,464103.8
problem_100_0.5,21,57.01,442551.65
problem_100_0.5,22,57.02,460197.97
problem_100_0.5,23,57.0,447470.4
problem_100_0.5,24,57.01,458518.77
problem_100_0.5,25,57.0,448693.09
problem_100_0.5,26,57.02,452874.54
problem_100_0.5,27,57.01,458741.03
problem_100_0.5,28,57.0,432503.05
problem_100_0.5,29,57.0,440504.41
problem_100_0.5,30,57.01,439135.98
problem_100_0.7,1,57.0,645493.98
problem_100_0.7,2,57.0,662118.24
problem_100_0.7,3,57.01,657438.23
problem_100_0.7,4,57.0,647559.38
problem_100_0.7,5,57.01,667813.85
problem_100_0.7,6,57.0,648504.64
problem_100_0.7,7,57.01,639709.1
problem_100_0.7,8,57.01,628891.82
problem_100_0.7,9,57.0,639949.22
problem_100_0.7,10,57.01,651499.96
problem_100_0.7,11,57.01,655481.46
problem_100_0.7,12,57.0,660344.64
problem_100_0.7,13,57.01,641252.96
problem_100_0.7,14,57.01,665873.94
problem_100_0.7,15,57.01,666762.05
problem_100_0.7,16,57.0,649162.04
problem_100_0.7,17,57.01,652211.41
problem_100_0.7,18,57.02,669067.58
problem_100_0.7,19,57.01,662185.25
problem_100_0.7,20,57.0,664954.17
problem_100_0.7,21,57.02,650522.29
problem_100_0.7,22,57.0,651655.89
problem_100_0.7,23,57.01,679577.2
problem_100_0.7,24,57.01,641566.94
problem_100_0.7,25,57.02,652065.04
problem_100_0.7,26,57.01,648344.62
problem_100_0.7,27,57.01,658805.1
problem_100_0.7,28,57.03,664943.78
problem_100_0.7,29,57.01,630395.31
problem_100_0.7,30,57.01,627489.68
problem_100_0.85,1,57.04,481417.36
problem_100_0.85,2,57.04,487655.57
problem_100_0.85,3,57.0,482514.04
problem_100_0.85,4,57.02,478388.7
problem_100_0.85,5,57.02,498081.69
problem_100_0.85,6,57.02,462906.37
problem_100_0.85,7,57.03,453219.68
problem_100_0.85,8,57.04,479314.12
problem_100_0.85,9,57.01,472681.12
problem_100_0.85,10,57.02,475280.33
problem_100_0.85,11,57.0,478769.64
problem_100_0.85,12,57.03,489196.13
problem_100_0.85,13,57.05,468345.77
problem_100_0.85,14,57.02,492709.06
problem_100_0.85,15,57.05,471118.49
problem_100_0.85,16,57.04,463881.06
problem_100_0.85,17,57.01,500370.33
problem_100_0.85,18,57.03,497288.97
problem_100_0.85,19,57.06,489789.92
problem_100_0.85,20,57.0,471944.48
problem_100_0.85,21,57.0,482562.78
problem_100_0.85,22,57.0,480662.51
problem_100_0.85,23,57.06,483522.42
problem_100_0.85,24,57.02,481502.58
problem_100_0.85,25,57.05,478070.38
problem_100_0.85,26,57.0,464215.77
problem_100_0.85,27,57.04,462918.02
problem_100_0.85,28,57.02,473770.37
problem_100_0.85,29,57.02,472882.04
problem_100_0.85,30,57.02,478962.74
