customers,linehaul_ratio,problem_name,count,mean,std,min,25%,50%,75%,max
20.0,0.7,problem_20_0.7.json,30.0,160966.3,1529.789103111929,160687.0,160687.0,160687.0,160687.0,169066.0
30.0,0.7,problem_30_0.7.json,30.0,208705.96666666667,8878.06494326222,197611.0,200024.0,208547.0,216263.0,224941.0
50.0,0.5,problem_50_0.5.json,30.0,289843.26666666666,6813.03859463265,280870.0,284846.5,288055.5,292282.75,305799.0
50.0,0.7,problem_50_0.7.json,30.0,272757.0333333333,8601.864823811546,259262.0,265412.5,272412.5,279502.25,290027.0
50.0,0.85,problem_50_0.85.json,30.0,256559.03333333333,4157.494076826878,246980.0,253765.25,256437.0,259326.75,265675.0
70.0,0.5,problem_70_0.5.json,30.0,326451.2,17879.363290753914,300370.0,312196.5,321951.0,333087.75,370000.0
70.0,0.7,problem_70_0.7.json,30.0,348959.6666666667,18400.34064027514,326403.0,337363.25,344263.0,357377.75,422508.0
70.0,0.85,problem_70_0.85.json,30.0,353007.6,5382.12962337016,343182.0,350444.75,352969.0,356015.25,364916.0
100.0,0.5,problem_100_0.5.json,30.0,425996.13333333336,23154.3011714936,394107.0,412181.75,416147.5,442180.5,491982.0
100.0,0.7,problem_100_0.7.json,30.0,561983.6,12281.364319920678,542758.0,552460.25,560432.0,568802.5,588512.0
100.0,0.85,problem_100_0.85.json,30.0,435404.13333333336,13748.843278576223,403184.0,428579.25,440034.5,444843.25,459744.0
130.0,0.5,problem_130_0.5.json,30.0,497325.13333333336,19844.933823632866,462935.0,484899.75,497481.5,507458.25,549572.0
130.0,0.7,problem_130_0.7.json,30.0,520638.5,22272.929207897196,492177.0,504161.0,511763.5,536181.75,571084.0
130.0,0.85,problem_130_0.85.json,30.0,508189.0,18576.098853653035,473899.0,495133.75,509266.5,523729.25,538450.0
150.0,0.5,problem_150_0.5.json,30.0,506232.73333333334,24493.56222235202,457559.0,491392.0,507949.5,518689.5,555389.0
150.0,0.7,problem_150_0.7.json,30.0,520080.06666666665,14470.46835963254,494115.0,508684.5,520240.0,527984.0,555978.0
150.0,0.85,problem_150_0.85.json,30.0,506882.4,28593.52806879014,451096.0,490465.0,505202.0,524913.25,572823.0
